Rank,Player,Team,Matches Played,Elims,Avg Dmg Dealt,Damage Dealt,Assists,Knocks,Headshots,KD Ratio,Max Elim Range,Survival Time,Damage Received,Healing Done,Deaths,Smokes Used,Grenades Used,Grenade Elims,Airdrops Taken,Distance Driven,Distance Walked,Distance Traveled,Stage
39.0,WAGNERZADA,Boars Gaming,6.0,4.0,407.0,2444.0,5.0,4.0,3.0,0.67,203.0,5498.0,611.0,555.0,6.0,11.0,11.0,1.0,1.0,25463.0,5400.0,30863.0,Group A
40.0,Bowz,Team Flash,6.0,4.0,200.0,1205.0,2.0,3.0,1.0,0.67,272.0,3907.0,904.0,952.0,6.0,19.0,4.0,0.0,0.0,27842.0,4017.0,31859.0,Group A
41.0,Guizão,Alpha7 Esports,6.0,4.0,195.0,1170.0,4.0,5.0,0.0,0.67,169.0,4222.0,944.0,836.0,6.0,6.0,6.0,0.0,1.0,25125.0,5821.0,30946.0,Group A
42.0,MOXXXYY,GOAT Team,6.0,4.0,193.0,1160.0,1.0,3.0,0.0,0.67,256.0,3689.0,776.0,171.0,6.0,8.0,10.0,1.0,0.0,19761.0,4412.0,24173.0,Group A
43.0,Obscure,Alpha7 Esports,6.0,4.0,166.0,999.0,1.0,5.0,2.0,0.67,302.0,3816.0,645.0,514.0,6.0,4.0,0.0,0.0,0.0,26106.0,4895.0,31001.0,Group A
44.0,HUZAIFA,4Thrives Esports,6.0,3.0,316.0,1900.0,3.0,7.0,1.0,0.5,185.0,4301.0,792.0,340.0,6.0,9.0,1.0,0.0,0.0,30051.0,5986.0,36037.0,Group A
45.0,Silenceee,FURIA,6.0,3.0,230.0,1383.0,5.0,3.0,0.0,0.5,179.0,4111.0,1567.0,706.0,6.0,10.0,4.0,1.0,0.0,13220.0,7522.0,20742.0,Group A
46.0,Masko,721 Esports,6.0,3.0,203.0,1223.0,1.0,2.0,0.0,0.5,43.0,4683.0,979.0,203.0,6.0,6.0,4.0,0.0,0.0,21042.0,5965.0,27007.0,Group A
47.0,Revo,Alpha7 Esports,6.0,3.0,197.0,1182.0,3.0,5.0,1.0,0.5,287.0,3987.0,836.0,368.0,6.0,5.0,5.0,0.0,0.0,25599.0,5528.0,31127.0,Group A
48.0,FAHiTA,ETSH Esports,6.0,3.0,192.0,1156.0,2.0,4.0,0.0,0.5,6.0,4322.0,858.0,290.0,6.0,8.0,4.0,0.0,0.0,26139.0,4540.0,30679.0,Group A
49.0,DOK,Aurora Gaming,6.0,3.0,182.0,1096.0,4.0,6.0,1.0,0.5,355.0,4733.0,1144.0,702.0,6.0,9.0,10.0,0.0,0.0,27277.0,6990.0,34267.0,Group A
50.0,KŁAWSINHO,AlUla Club Esports,6.0,3.0,178.0,1070.0,1.0,2.0,1.0,0.5,230.0,3840.0,1431.0,709.0,6.0,11.0,2.0,0.0,1.0,13968.0,5308.0,19276.0,Group A
51.0,SchwepXz,eArena,6.0,3.0,177.0,1062.0,4.0,1.0,1.0,0.5,232.0,4500.0,1204.0,594.0,4.0,13.0,5.0,0.0,1.0,25970.0,7081.0,33051.0,Group A
52.0,Jowker,eArena,6.0,3.0,158.0,948.0,1.0,1.0,1.0,0.5,81.0,3601.0,982.0,442.0,4.0,3.0,4.0,1.0,1.0,25579.0,5457.0,31036.0,Group A
53.0,AYATO,GOAT Team,6.0,3.0,130.0,783.0,2.0,3.0,1.0,0.5,180.0,5038.0,967.0,356.0,6.0,10.0,8.0,0.0,0.0,18507.0,6480.0,24987.0,Group A
54.0,Voxie,VOIN Esports,6.0,3.0,120.0,724.0,0.0,0.0,0.0,0.5,174.0,4023.0,998.0,718.0,6.0,6.0,2.0,0.0,0.0,25453.0,4750.0,30203.0,Group A
55.0,Carrilho,Alpha7 Esports,6.0,3.0,67.0,405.0,2.0,1.0,1.0,0.5,111.0,4777.0,721.0,695.0,6.0,5.0,3.0,0.0,0.0,28027.0,6875.0,34902.0,Group A
