Player,Team,Elims,Avg Dmg Dealt,Assists,Knocks,KD Ratio,Stage
RAOUF,Nigma Galaxy,3.0,123.0,3.0,1.0,0.5,Group B
PrEStlGe,R8 Esports,3.0,107.0,2.0,4.0,0.5,Group B
Loco,Hustler Crew,3.0,104.0,0.0,3.0,0.5,Group B
GenFos,RRQ RYU,2.0,153.0,0.0,2.0,0.33,Group B
Lmntrixxx,Wolves Esports,2.0,139.0,1.0,1.0,0.33,Group B
Kein,FUT Esports,2.0,107.0,0.0,2.0,0.33,Group B
SlaYer,Trained to Kill,1.0,97.0,1.0,3.0,0.17,Group B
Vinnie,Hustler Crew,1.0,67.0,0.0,1.0,0.17,Group B
V3xxy,Bigetron by Vitality,1.0,64.0,0.0,1.0,1.0,Group B
KAL3Y,Hustler Crew,0.0,156.0,0.0,4.0,0.0,Group B
Swain,FUT Esports,0.0,62.0,3.0,1.0,0.0,Group B
AaZzMmm,Hustler Crew,0.0,39.0,0.0,1.0,0.0,Group B
Zhius,Team Flash,18.0,452.0,4.0,15.0,3.0,Survival Stage
FALAK,4Thrives Esports,15.0,284.0,3.0,9.0,2.5,Survival Stage
Y4SR,AlUla Club Esports,14.0,390.0,5.0,13.0,2.33,Survival Stage
Focus,GOAT Team,13.0,342.0,4.0,12.0,2.17,Survival Stage
Vitinn,Loops Esports,13.0,306.0,5.0,9.0,2.17,Survival Stage
AYATO,GOAT Team,12.0,433.0,8.0,11.0,2.0,Survival Stage
FORCE,GOAT Team,12.0,362.0,8.0,9.0,2.0,Survival Stage
NCSSRY,Wolves Esports,11.0,435.0,7.0,12.0,1.83,Survival Stage
T24OP,4Thrives Esports,11.0,386.0,8.0,12.0,1.83,Survival Stage
DORIN23,The Vicious,11.0,296.0,4.0,9.0,1.83,Survival Stage
SaTaN,Nigma Galaxy,10.0,279.0,6.0,11.0,1.67,Survival Stage
Masko,721 Esports,10.0,245.0,3.0,7.0,1.67,Survival Stage
win,Team Flash,9.0,380.0,4.0,10.0,1.5,Survival Stage
HUZAIFA,4Thrives Esports,9.0,364.0,4.0,11.0,1.5,Survival Stage
