Group Stage: Group B Statistics,,,,,,,,,,,,,,,,,,,,,,
#,Player,Team,"Matches
Played",Elims,"Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","KD
Ratio","Max Elim
Range","Survival
Time","Damage
Received","Healing
Done",Deaths,"Smokes
Used","Grenades
Used","Grenade
Elims","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
55,PrEStlGe,R8 Esports,6,3,107,643,2,4,1,0.5,218,"6,260","1,393",468,6,8,1,0,0,"36,510","7,806","44,316"
56,Loco,Hustler Crew,6,3,104,628,0,3,0,0.5,373,"6,915","1,418",404,6,7,3,0,0,"37,940","7,822","45,762"
57,GenFos,RRQ RYU,6,2,153,923,0,2,0,0.33,9,"4,695","1,121",179,6,5,2,0,0,"14,935","7,812","22,747"
58,Lmntrixxx,Wolves Esports,6,2,139,839,1,1,0,0.33,225,"7,809","2,344","1,477",5,17,11,1,1,"36,314","9,847","46,161"
59,Kein,FUT Esports,6,2,107,643,0,2,1,0.33,277,"6,498","1,356",223,6,8,4,0,0,"45,562","8,942","54,504"
60,SlaYer,Trained to Kill,6,1,97,582,1,3,0,0.17,3,"6,685","1,208",504,6,10,6,0,0,"52,049","6,721","58,770"
61,Vinnie,Hustler Crew,6,1,67,407,0,1,0,0.17,17,"7,890","1,236",685,6,7,3,0,0,"30,927","10,238","41,165"
62,V3xxy,Bigetron by Vitality,1,1,64,64,0,1,0,1,316,"1,272",325,279,1,1,0,0,0,"9,754","1,262","11,016"
63,KAL3Y,Hustler Crew,6,0,156,938,0,4,0,0,0,"7,365","1,130",380,6,8,5,0,0,"27,176","8,869","36,045"
64,Swain,FUT Esports,6,0,62,373,3,1,0,0,0,"5,692","1,210",309,6,9,4,0,0,"32,802","7,530","40,332"
65,AaZzMmm,Hustler Crew,6,0,39,236,0,1,0,0,0,"6,351","1,360",372,6,10,2,0,0,"30,044","6,782","36,826"
